country,co2emissions,lifeexpectancy,urbanrate
Afghanistan,75944000,48.673,24.04
Albania,223747333.3,76.918,46.72
Algeria,2932108667,73.131,65.22
Andorra, , ,88.92
Angola,248358000,51.093,56.7
Antigua and Barbuda,16225000, ,30.46
Argentina,5872119000,75.901,92
Armenia,51219666.67,74.241,63.86
Aruba,35871000,75.246,46.78
Australia,12970092667,81.907,88.74
Austria,4466084333,80.854,67.16
Azerbaijan,511107666.7,70.739,51.92
Bahamas,137555000,75.62,83.7
Bahrain,503994333.3,75.057,88.52
Bangladesh,598774000,68.944,27.14
Barbados,36160666.67,76.835,39.84
Belarus,999874333.3,70.349,73.46
Belgium,10897025333,80.009,97.36
Belize,14058000,76.072,51.7
Benin,37950000,56.081,41.2
Bermuda,20331666.67, ,100
Bhutan,6024333.333,67.185,34.48
Bolivia,254939666.7,66.618,65.58
Bosnia and Herzegovina,236419333.3,75.67,47.44
Botswana,78943333.33,53.183,59.58
Brazil,9580226333,73.488,85.58
Brunei,254206333.3,78.005,74.82
Bulgaria,3157700333,73.371,71.1
Burkina Faso,20628666.67,55.439,19.56
Burundi,8092333.333,50.411,10.4
Cambodia,45411666.67,63.125,21.56
Cameroon,125172666.7,51.61,56.76
Canada,24979045667,81.012,80.4
Cape Verde,5214000,74.156,59.62
Cayman Islands,8968666.667, ,100
Central African Rep.,8338000,48.398,38.58
Chad,7608333.333,49.553,26.68
Chile,1839471333,79.12,88.44
China,1.01E+11,73.456,43.1
Colombia,2269806000,73.703,74.5
Comoros,2368666.667,61.061,28.08
"Congo, Dem. Rep.",169180000,48.397,33.96
"Congo, Rep.",46306333.33,57.379,61.34
Cook Islands,1045000, , 
Costa Rica,148470666.7,79.311,63.26
Cote d'Ivoire,228748666.7,55.377,48.78
Croatia,310024000,76.64,57.28
Cuba,1286670000,79.143,75.66
Cyprus,183535000,79.591,69.9
Czech Rep.,1776016000,77.685,73.5
Denmark,3503877667,78.826,86.68
Djibouti,14054333.33,57.937,87.3
Dominica,2401666.667, ,73.92
Dominican Rep.,446365333.3,73.396,69.02
Ecuador,692039333.3,75.632,65.58
Egypt,3341129000,73.235,42.72
El Salvador,143586666.7,72.196,60.7
Equatorial Guinea,26125000,51.088,39.38
Eritrea,7315000,61.597,20.72
Estonia,277170666.7,74.825,69.46
Ethiopia,119958666.7,59.274,17
Faeroe Islands,21351000, ,41.42
Fiji,35717000,69.245,52.36
Finland,2420300667,79.977,63.3
France,33341634333,81.539,77.36
French Polynesia,19800000,75.133,51.64
Gabon,170804333.3,62.703,85.04
Gambia,7355333.333,58.491,56.42
Georgia,81191000,73.737,52.74
Germany,41229554667,80.414,73.64
Ghana,188268666.7,64.228,50.02
Gibraltar,7388333.333, , 
Greece,2712915333,79.915,61
Greenland,23635333.33, ,83.52
Grenada,4774000,75.956,30.84
Guadeloupe,45778333.33,79.839, 
Guam, ,76.142,93.16
Guatemala,242594000,71.172,48.58
Guinea,46684000,54.097,34.44
Guinea-Bissau,7813666.667,48.132,29.84
Guyana,69329333.33,69.927,28.38
Haiti,40857666.67,62.095,46.84
Honduras,131703000,73.126,47.88
"Hong Kong, China",1026813333,82.759,100
Hungary,4244009000,74.414,67.5
Iceland,92770333.33,81.804,92.26
India,30391317000,65.438,29.54
Indonesia,6710201667,69.366,51.46
Iran,9183548000,72.974,68.46
Iraq,2421917667,69.042,66.6
Ireland,1633778667,80.557,61.34
Israel,1561079667,81.618,91.66
Italy,19000454000,81.855,68.08
Jamaica,340090666.7,73.127,53.3
Japan,46092214667,83.394,66.48
Jordan,377303666.7,73.403,78.42
Kazakhstan,2484925667,67.017,57.94
Kenya,283583666.7,57.134,21.6
Kiribati,1111000, ,43.84
"Korea, Dem. Rep.",5896388667,68.846,62.68
"Korea, Rep.",9666891667,80.642,81.46
Kuwait,1712755000,74.576,98.36
Kyrgyzstan,87970666.67,67.714,36.28
Laos,21332666.67,67.484,30.88
Latvia,125755666.7,73.339,68.12
Lebanon,428006333.3,72.64,86.96
Lesotho, ,48.196,25.46
Liberia,38991333.33,56.786,60.14
Libya,1414031667,74.788,77.54
Liechtenstein, , ,14.32
Lithuania,226255333.3,72.231,66.96
Luxembourg,592012666.7,79.963,82.44
"Macao, China",38397333.33,80.934,100
"Macedonia, FYR",168883000,74.847,66.9
Madagascar,62777000,66.718,29.52
Malawi,28490000,54.21,18.8
Malaysia,2670950333,74.221,70.36
Maldives,8231666.667,76.848,37.86
Mali,17515666.67,51.444,32.18
Malta,73784333.33,79.634,94.26
Marshall Islands,1206333.333, ,71.08
Martinique,56162333.33,80.499, 
Mauritania,56818666.67,58.582,41
Mauritius,59473333.33,73.373,42.48
Mexico,13304503667,76.954,77.2
"Micronesia, Fed. Sts.", ,68.978,22.54
Moldova,149904333.3,69.317,41.76
Monaco, , ,100
Mongolia,300934333.3,68.498,57.18
Montenegro, ,74.573,60.18
Morocco,953051000,72.15,56.02
Mozambique,107096000,50.239,36.84
Myanmar,322960000,65.193,32.58
Namibia,26209333.33,62.465,36.84
Nauru,4814333.333, , 
Nepal,52657000,68.795,17.24
Netherlands,9483023000,80.734,81.82
Netherlands Antilles,102538333.3,76.652,92.68
New Caledonia,90269666.67,76.521,64.78
New Zealand,1321661000,80.654,86.56
Nicaragua,109681000,74.044,56.74
Niger,30800000,54.675,16.54
Nigeria,2386820333,51.879,48.36
Niue,132000, , 
Norway,1962704333,81.097,77.48
Oman,487993000,72.974,71.62
Pakistan,2329308667,65.437,36.16
Palau,1723333.333, ,80.46
Panama,170404666.7,76.128,73.2
Papua New Guinea,88337333.33,62.791,12.54
Paraguay,95256333.33,72.477,60.3
Peru,1146277000,73.99,71.4
Philippines,2008116000,68.749,64.92
Poland,23053598333,76.126,61.32
Portugal,1865922667,79.499,59.46
Puerto Rico, ,79.158,98.32
Qatar,811965000,78.371,95.64
Reunion,55146666.67,77.653, 
Romania,7104137333,73.979,54.24
Russia,23404568000,68.823,72.84
Rwanda,20152000,55.442,18.34
Saint Kitts and Nevis,2251333.333, ,32.32
Saint Lucia,7601000,74.641,27.84
Saint Vincent and the Grenadines,3659333.333,72.283,47.04
Samoa,4352333.333,72.444,23
San Marino, , ,94.22
Sao Tome and Principe,2335666.667,64.666,60.56
Saudi Arabia,7861553333,73.911,82.42
Senegal,127108666.7,59.318,42.38
Serbia, ,74.522,52.04
Serbia and Montenegro, , , 
Seychelles,9155666.667, ,54.34
Sierra Leone,29758666.67,47.794,37.76
Singapore,1548044667,81.126,100
Slovak Republic,590674333.3,75.446,56.56
Slovenia,214368000,79.341,48.6
Solomon Islands,5210333.333,67.852,17.96
Somalia,16379000,51.219,36.52
South Africa,14609848000,52.797,60.74
Spain,10822529667,81.404,77.12
Sri Lanka,253854333.3,74.941,15.1
Sudan,225019666.7,61.452,43.44
Suriname,86317000,70.563,74.92
Swaziland,22704000,48.718,24.94
Sweden,4286590000,81.439,84.54
Switzerland,2406741333,82.338,73.48
Syria,1436893333,75.85,54.22
Taiwan,5248815000, , 
Tajikistan,104170000,67.529,26.46
Tanzania,100782000,58.199,25.52
Thailand,4200940333,74.126,33.32
Timor-Leste,850666.6667,62.475,27.3
Togo,32233666.67,57.062,42
Tonga,2907666.667,72.317,24.78
Trinidad and Tobago, ,70.124,13.22
Tunisia,525891666.7,74.515,66.5
Turkey,5675629667,73.979,68.68
Turkmenistan,531303666.7,64.986,48.62
Tuvalu, , , 
Uganda,49793333.33,54.116,12.98
Ukraine,5584766000,68.494,67.98
United Arab Emirates,2315698000,76.546,77.88
United Kingdom,72524250333,80.17,89.94
United States,3.34E+11,78.531,81.7
Uruguay,275744333.3,77.005,92.3
Uzbekistan,1718339333,68.287,36.82
Vanuatu,2977333.333,71.017,24.76
Venezuela,5418886000,74.402,93.32
Vietnam,1425435000,75.181,27.84
West Bank and Gaza,14241333.33,72.832,71.9
"Yemen, Rep.",234864666.7,65.493,30.64
Zambia,132025666.7,49.025,35.42
Zimbabwe,590219666.7,51.384,37.34
